OBS   COUNTY      T8    T3    T5    ENRL      DENS  IMTR    IM   IL      PLUN
139   UNION      127   129   114    2488     46.24     0     0    0   0.44092
140   UPSON       93   119   112    4914     82.71     0     1    0   0.50407
141   WALKER      90   100   100    8644    137.04     1     1    0   0.42376
142   WALTON      84   108   103    8460    149.73     1     1    0   0.32482
143   WARE        95   114   111    6752     39.41     0     1    0   0.53229
144   WARREN      62    66    66    1091     21.02     0     0    0   0.79835
145   WASHINGT    87    81    98    3965     29.26     0     1    0   0.69004
146   WAYNE       92    86    89    4982     38.21     0     1    0   0.50803
147   WHEELER     90    93    80    1057     16.57     0     0    0   0.67171
148   WHITE      110   129   114    2943     66.80     0     0    0   0.31464
149   WHITFIEL   110   117   118   10723    276.88     0     1    0   0.33591
150   WILCOX     112   120   112    1350     19.24     0     0    0   0.58074
151   WILKES     101    74    94    2102     22.45     0     0    0   0.58801
152   WILKINSO    86    82    83    1988     24.18     0     0    0   0.60262
153   WORTH       91    73    82    4774     38.62     0     1    0   0.53268
154   ATLANTA     73    99    98   60064   1358.68     1     0    1   0.71484
155   BREMEN     132   134   125    1349     84.59     0     0    0   0.20979
156   BUFORD     122   124   111    1805   1104.18     1     0    0   0.45319
157   CALHOUN    114   138   128    2211    110.84     0     0    0   0.25599
158   CARROLLT   105   104   117    3768    158.84     1     1    0   0.39835
159   CARTERSV   136   145   133    3171    144.15     1     0    0   0.31630
160   CHICKAMA   134   146   128    1280    137.04     1     0    0   0.12344
161   COMMERCE   119   113    97    1070    102.89     0     0    0   0.41589
162   DALTON     110   113   109    4639    276.88     0     1    0   0.44492
163   DECATUR    123   121   115    2957   2198.27     1     0    0   0.48563
164   DUBLIN      97    88   105    3939     53.34     0     1    0   0.56207
165   GAINESVI   104   119   117    3366    287.10     0     0    0   0.61824
166   JEFFERSO   118   128   115    1183    102.89     0     0    0   0.35165
167   MARIETTA   104   125   113    6375   1583.87     1     1    0   0.50682
168   PELHAM      98   109   103    1724     41.00     0     0    0   0.69026
169   ROME       118   123   110    4971    164.47     0     1    0   0.57795
170   SOCIALCI    81   110    97    1294    149.73     1     0    0   0.41190
171   THOMASVI    91   107    90    3740     76.42     0     1    0   0.61684
172   TRION      112   120   129    1288     73.15     0     0    0   0.14907
173   VALDOSTA    84    97    98    7455    166.53     0     1    0   0.58471
174   VIDALIA    100   112   100    2538     69.44     0     0    0   0.48227
